;Company;Job;Location;Salary;Salary_2;Sal_avg
507;DEPT OF YOUTH & COMM DEV SRVS;Capacity Building Analyst;Manhattan, NY;68239;85644;76941
511;Harnham;Director, Data Scientist Modeler;New York, NY;180000;0;180000
527;Execu | Search;Quantitative Analyst - Portfolio Research;New York;100000;250000;175000
541;Big Cloud;Data Scientist;New York, NY;150000;0;150000
546;Averity;Data Scientist, Quant Developer for $10B Asset Manager;New York;120000;150000;135000
588;Averity;Senior Data Scientist;New York;125000;175000;150000
593;DEPARTMENT OF TRANSPORTATION;Bike Share Data Scientist;Manhattan, NY;60189;83440;71814
601;CONSUMER AFFAIRS;Modeler/Data Scientist, Policy and Strategy;Manhattan, NY;59708;72246;65977
608;Selby Jennings;Catastrophe Risk Analyst - Quantitative;New York;120000;180000;150000
627;Datacom Technology Group;Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...;New York;200000;0;200000
628;Averity;Executive Director of Data Engineering (Media);New York, NY;200000;230000;215000
629;POLICE DEPARTMENT;Coordinator / Lead Scientist, Municipal Storm Sewer Systems;New York;78630;103332;90981
642;Averity;Big Data Analytics Engineer at Global Company;New York;95000;105000;100000
643;Averity;Senior Data Scientist (Media);New York;125000;150000;137500
644;Averity;Senior Systematic Quantitative Analyst - Multi-billion Dolla...;New York;180000;220000;200000
647;Smith Hanley Associates;Data Scientist;New York, NY;75000;90000;82500
682;The Hagan-Ricci Group, Inc.;Data Scientist / Python Developer;New York;200000;300000;250000
683;Laguna Source;Senior Scientist, Upstream Mammalian Cell Culture Developmen...;New York, NY 10001 (Chelsea area);100000;0;100000
693;ADMIN FOR CHILDREN'S SVCS;Clinical Program Officer;New York;68239;85644;76941
706;DEPT OF HEALTH/MENTAL HYGIENE;Special Assistant, Bureau of Vital Statistics;Manhattan, NY;59708;72246;65977
721;DBFS Ltd;Quantitative Research Analyst;New York;60000;120000;90000
727;HRA/DEPT OF SOCIAL SERVICES;SENIOR RESEARCH ASSOCIATE;Manhattan, NY;78630;90000;84315
732;AiCure;Manager, Business Development Operations;New York;80000;0;80000
733;Averity;Senior Data Scientist for Fortune 500 Company;New York, NY 10016 (Gramercy area);95000;120000;107500
734;Averity;Big Data Analytics Engineer/ ETL Developer;New York;95000;115000;105000
737;JEG Search;Quantitative Business Analyst;New York, NY;55000;65000;60000
746;Workbridge Associates;Lead Data Scientist;New York;130000;150000;140000
748;Selby Jennings;Quantitative Business Analyst - Investment Bank;New York, NY 10167 (Midtown area);80000;110000;95000
770;Scienaptic Systems Inc;Data Scientist;New York, NY;100000;0;100000
775;Centers for Disease Control and Prevention;Health Scientist;New York;88305;146570;117437
788;Averity;Data Scientist (AdTech);New York;80000;90000;85000
790;DEPT. OF HOMELESS SERVICES;Compliance Team Leader;Manhattan, NY;78630;103332;90981
798;Selby Jennings;Equity Research Analyst – Healthcare;New York;150000;200000;175000
818;Green Key Resources;Data Analysis Specialist;New York;175000;215000;195000
